Wall time,Step,Value
1560349620.1233847,2,0.63428795337677
1560349625.3901432,3,0.6840500235557556
1560349630.7501452,4,0.6913355588912964
1560349636.0442905,5,0.6922333240509033
1560349641.3292437,6,0.6843329668045044
1560349646.72144,7,0.6765517592430115
1560349652.0144079,8,0.6728854179382324
1560349657.294567,9,0.6683309078216553
1560349662.6068854,10,0.6639422178268433
1560349667.8764606,11,0.662625789642334
1560349673.269721,12,0.6574863791465759
1560349678.5557306,13,0.6484143733978271
1560349683.8179169,14,0.645203173160553
1560349689.158459,15,0.6390167474746704
1560349694.6133933,16,0.6308344602584839
1560349699.8814492,17,0.6144652366638184
1560349705.132303,18,0.6144652366638184
1560349710.4045603,19,0.609745979309082
1560349716.0140562,20,0.6041215062141418
1560349721.296048,21,0.5972813367843628
1560349726.76433,22,0.5901684761047363
1560349732.1706681,23,0.5829195380210876
1560349737.4809813,24,0.5778277516365051
1560349742.7975564,25,0.572228193283081
1560349747.9921331,26,0.5655837655067444
1560349753.263145,27,0.5603698492050171
1560349758.5086775,28,0.5547702312469482
1560349763.7307162,29,0.549831748008728
1560349769.0357077,30,0.5444821715354919
1560349774.4112778,31,0.5393891930580139
1560349779.7301643,32,0.5320016741752625
1560349785.0882688,33,0.5270558595657349
1560349790.3507342,34,0.5225943922996521
1560349795.620206,35,0.5185060501098633
1560349800.8828816,36,0.5158596038818359
1560349806.259137,37,0.5110816359519958
1560349811.5551813,38,0.5068026185035706
1560349816.8193781,39,0.5019081830978394
1560349822.1905024,40,0.49903547763824463
1560349827.5114536,41,0.49422186613082886
1560349832.864569,42,0.48931437730789185
1560349838.1433814,43,0.4855773448944092
1560349843.4262822,44,0.48122531175613403
1560349848.7160115,45,0.47712549567222595
1560349854.1809974,46,0.4743245542049408
1560349859.514703,47,0.4674696922302246
1560349864.783775,48,0.4674696922302246
1560349870.0641158,49,0.4634374678134918
1560349875.4159458,50,0.4622463285923004
1560349880.7025292,51,0.4581746757030487
1560349886.0249145,52,0.4536501467227936
1560349891.4494686,53,0.45046091079711914
1560349896.7589734,54,0.4475315809249878
1560349902.101703,55,0.4433901607990265
1560349907.6116002,56,0.44092822074890137
1560349912.942894,57,0.43731874227523804
1560349918.2479346,58,0.4341447353363037
1560349923.6188762,59,0.43113237619400024
1560349928.958525,60,0.4275994300842285
1560349934.3997922,61,0.42442479729652405
1560349939.755132,62,0.42219090461730957
1560349945.1122162,63,0.41894903779029846
1560349950.436877,64,0.41574710607528687
1560349955.7857823,65,0.41327789425849915
1560349961.1520371,66,0.4105488359928131
1560349966.4870179,67,0.4076233506202698
1560349971.7483385,68,0.4048447012901306
1560349977.084319,69,0.4019439220428467
1560349982.414512,70,0.40287137031555176
1560349987.7421346,71,0.39921289682388306
1560349993.131517,72,0.39641979336738586
1560349998.3839173,73,0.39370808005332947
1560350003.7736704,74,0.3904852271080017
1560350009.0688894,75,0.38754481077194214
1560350014.4836557,76,0.3852050304412842
1560350020.0036345,77,0.38192805647850037
1560350025.4031947,78,0.38345038890838623
1560350030.6821408,79,0.3798027038574219
1560350036.1109784,80,0.37667736411094666
1560350041.4700096,81,0.3734670579433441
1560350046.8001359,82,0.37061190605163574
1560350052.1539097,83,0.36768025159835815
1560350057.420037,84,0.36543405055999756
1560350062.6928346,85,0.3630317151546478
1560350067.9661198,86,0.35991764068603516
1560350073.259376,87,0.35708004236221313
1560350078.5589573,88,0.3547872006893158
1560350083.9245281,89,0.35146817564964294
1560350089.2838702,90,0.3493129014968872
1560350094.829244,91,0.34646788239479065
1560350100.2161534,92,0.34452691674232483
1560350105.5049608,93,0.3415642976760864
1560350110.8288178,94,0.3404213786125183
1560350116.3097727,95,0.33758288621902466
1560350121.607053,96,0.33424103260040283
1560350126.8562505,97,0.3316222131252289
1560350132.268012,98,0.328709214925766
1560350137.6306353,99,0.3263176679611206
1560350142.8882644,100,0.3234131932258606
