Wall time,Step,Value
1560347890.187525,2,0.4209125339984894
1560347895.3906598,3,0.5120635628700256
1560347900.652964,4,0.5956965088844299
1560347906.0332758,5,0.7044962644577026
1560347911.299313,6,0.7245824337005615
1560347916.6025672,7,0.7506694793701172
1560347922.0034935,8,0.7818399667739868
1560347927.3154132,9,0.7815905213356018
1560347932.5622404,10,0.7852819561958313
1560347937.8539028,11,0.7960359454154968
1560347943.0999284,12,0.8048349618911743
1560347948.3571427,13,0.8192212581634521
1560347953.6044552,14,0.8192909359931946
1560347958.9173343,15,0.826025664806366
1560347964.1420407,16,0.8299542665481567
1560347969.5110064,17,0.8357334733009338
1560347974.7733357,18,0.8419222831726074
1560347980.0606942,19,0.8515223264694214
1560347985.2864652,20,0.8613602519035339
1560347990.492507,21,0.8689858317375183
1560347995.8000247,22,0.879772961139679
1560348001.2084975,23,0.8998486995697021
1560348006.5090046,24,0.8998486995697021
1560348011.7248032,25,0.9105709195137024
1560348016.915038,26,0.9241784811019897
1560348022.1444097,27,0.9363424777984619
1560348027.3664973,28,0.9451276063919067
1560348032.6380286,29,0.9533880949020386
1560348037.8667135,30,0.9599250555038452
1560348043.0923774,31,0.9643471240997314
1560348048.2598522,32,0.9698024988174438
1560348053.4628057,33,0.9739272594451904
1560348058.6765077,34,0.9778847098350525
1560348063.9895568,35,0.980523943901062
1560348069.2218537,36,0.9845988750457764
1560348074.4526238,37,0.9845988750457764
1560348079.76036,38,0.9864962697029114
1560348085.1213784,39,0.9879899621009827
1560348090.5041032,40,0.9901136159896851
1560348095.764315,41,0.9901136159896851
1560348101.0131457,42,0.9908665418624878
1560348106.4349053,43,0.9918073415756226
1560348111.6220536,44,0.9889477491378784
1560348116.8858216,45,0.9901788830757141
1560348122.1139796,46,0.990865170955658
1560348127.3350418,47,0.9917377829551697
1560348132.520197,48,0.9918434619903564
1560348137.8290153,49,0.9925310015678406
1560348143.0534558,50,0.9930999875068665
1560348148.2778313,51,0.993862509727478
1560348153.6539664,52,0.9944979548454285
1560348158.9916139,53,0.9947487115859985
1560348164.31841,54,0.995235025882721
1560348169.617652,55,0.9956441521644592
1560348175.004298,56,0.9957219958305359
1560348180.366772,57,0.9960510730743408
1560348185.621126,58,0.9963303208351135
1560348190.8599436,59,0.9965679049491882
1560348196.1623864,60,0.9962672591209412
1560348201.464316,61,0.9965061545372009
1560348206.6471286,62,0.9964665174484253
1560348211.833484,63,0.9964324235916138
1560348217.0482295,64,0.9961654543876648
1560348222.3296666,65,0.9964038133621216
1560348227.5511456,66,0.9945290088653564
1560348232.6825416,67,0.9949573874473572
1560348237.9283915,68,0.9953293800354004
1560348243.214899,69,0.9958752989768982
1560348248.4971457,70,0.995912492275238
1560348253.6592119,71,0.9963781833648682
1560348258.9185388,72,0.9961439967155457
1560348264.2064407,73,0.9963611960411072
1560348269.4658499,74,0.9965519309043884
1560348274.674061,75,0.9969258308410645
1560348279.9132552,76,0.9968478083610535
1560348285.0821116,77,0.9971815943717957
1560348290.3129182,78,0.9970786571502686
1560348295.51024,79,0.996987521648407
1560348300.9150734,80,0.996712327003479
1560348306.1669085,81,0.9966602921485901
1560348311.3509119,82,0.9952832460403442
1560348316.5408568,83,0.9957548975944519
1560348321.8984334,84,0.9950387477874756
1560348327.1978054,85,0.9953447580337524
1560348332.4314723,86,0.9958102703094482
1560348337.7227147,87,0.9958490133285522
1560348342.995101,88,0.9956937432289124
1560348348.2268517,89,0.995934247970581
1560348353.4586356,90,0.9961507320404053
1560348358.670554,91,0.9963455200195312
1560348363.9072719,92,0.9961405992507935
1560348369.1196277,93,0.9963364005088806
1560348374.3577604,94,0.9961324334144592
1560348379.6008298,95,0.9965060353279114
1560348384.867234,96,0.9965060353279114
1560348390.0518043,97,0.9966652989387512
1560348395.2583647,98,0.9966185092926025
1560348400.5957353,99,0.9969566464424133
1560348405.9463446,100,0.9949796199798584
