Wall time,Step,Value
1560347890.187525,2,0.6335501074790955
1560347895.3906598,3,0.6789042949676514
1560347900.652964,4,0.6683933734893799
1560347906.0332758,5,0.6426998972892761
1560347911.299313,6,0.6166181564331055
1560347916.6025672,7,0.5864296555519104
1560347922.0034935,8,0.5541232824325562
1560347927.3154132,9,0.5262385606765747
1560347932.5622404,10,0.5045618414878845
1560347937.8539028,11,0.47905442118644714
1560347943.0999284,12,0.45885151624679565
1560347948.3571427,13,0.4368913769721985
1560347953.6044552,14,0.42077648639678955
1560347958.9173343,15,0.4045913517475128
1560347964.1420407,16,0.3917314112186432
1560347969.5110064,17,0.37578585743904114
1560347974.7733357,18,0.3608168959617615
1560347980.0606942,19,0.34819045662879944
1560347985.2864652,20,0.3342474699020386
1560347990.492507,21,0.3227759897708893
1560347995.8000247,22,0.30790936946868896
1560348001.2084975,23,0.27578234672546387
1560348006.5090046,24,0.27578234672546387
1560348011.7248032,25,0.26133614778518677
1560348016.915038,26,0.24425846338272095
1560348022.1444097,27,0.22924266755580902
1560348027.3664973,28,0.21412669122219086
1560348032.6380286,29,0.19865824282169342
1560348037.8667135,30,0.1842769980430603
1560348043.0923774,31,0.17043769359588623
1560348048.2598522,32,0.15550388395786285
1560348053.4628057,33,0.14125843346118927
1560348058.6765077,34,0.12910859286785126
1560348063.9895568,35,0.11682859063148499
1560348069.2218537,36,0.09878835827112198
1560348074.4526238,37,0.09878835827112198
1560348079.76036,38,0.09119883179664612
1560348085.1213784,39,0.08273565024137497
1560348090.5041032,40,0.06891973316669464
1560348095.764315,41,0.06891973316669464
1560348101.0131457,42,0.06369840353727341
1560348106.4349053,43,0.057453107088804245
1560348111.6220536,44,0.06967834383249283
1560348116.8858216,45,0.06184498593211174
1560348122.1139796,46,0.05824130028486252
1560348127.3350418,47,0.051938824355602264
1560348132.520197,48,0.04890071600675583
1560348137.8290153,49,0.043890513479709625
1560348143.0534558,50,0.0406692773103714
1560348148.2778313,51,0.03685050457715988
1560348153.6539664,52,0.03327631205320358
1560348158.9916139,53,0.030276630073785782
1560348164.31841,54,0.02764805778861046
1560348169.617652,55,0.025422828271985054
1560348175.004298,56,0.023138105869293213
1560348180.366772,57,0.021249927580356598
1560348185.621126,58,0.019375324249267578
1560348190.8599436,59,0.017751820385456085
1560348196.1623864,60,0.019554493948817253
1560348201.464316,61,0.018101796507835388
1560348206.6471286,62,0.018224632367491722
1560348211.833484,63,0.016915401443839073
1560348217.0482295,64,0.017732389271259308
1560348222.3296666,65,0.016328144818544388
1560348227.5511456,66,0.032509177923202515
1560348232.6825416,67,0.029531389474868774
1560348237.9283915,68,0.026898901909589767
1560348243.214899,69,0.02448025718331337
1560348248.4971457,70,0.023464135825634003
1560348253.6592119,71,0.02132524363696575
1560348258.9185388,72,0.020924536511301994
1560348264.2064407,73,0.01921101287007332
1560348269.4658499,74,0.018897157162427902
1560348274.674061,75,0.017389358952641487
1560348279.9132552,76,0.017954424023628235
1560348285.0821116,77,0.016448702663183212
1560348290.3129182,78,0.017136381939053535
1560348295.51024,79,0.016029924154281616
1560348300.9150734,80,0.019324002787470818
1560348306.1669085,81,0.017984924837946892
1560348311.3509119,82,0.027573373168706894
1560348316.5408568,83,0.02531295269727707
1560348321.8984334,84,0.0320553295314312
1560348327.1978054,85,0.02965710684657097
1560348332.4314723,86,0.027124619111418724
1560348337.7227147,87,0.02523837424814701
1560348342.995101,88,0.027713725343346596
1560348348.2268517,89,0.02573530562222004
1560348353.4586356,90,0.023903725668787956
1560348358.670554,91,0.021982166916131973
1560348363.9072719,92,0.023529911413788795
1560348369.1196277,93,0.021891431882977486
1560348374.3577604,94,0.025553667917847633
1560348379.6008298,95,0.023523861542344093
1560348384.867234,96,0.02190260961651802
1560348390.0518043,97,0.020497769117355347
1560348395.2583647,98,0.0203622505068779
1560348400.5957353,99,0.018767505884170532
1560348405.9463446,100,0.036847084760665894
