Wall time,Step,Value
1568997698.8673437,2,0.6294353604316711
1568997704.6543117,3,0.6826422214508057
1568997710.4709816,4,0.6812003254890442
1568997716.4030607,5,0.6752148866653442
1568997722.235886,6,0.6573456525802612
1568997728.0663764,7,0.6410343647003174
1568997733.9111555,8,0.6268485188484192
1568997739.7117033,9,0.609825849533081
1568997745.607327,10,0.5883193016052246
1568997751.5272756,11,0.5711790919303894
1568997757.444284,12,0.55390864610672
1568997763.2489657,13,0.5348349809646606
1568997769.1658156,14,0.5217864513397217
1568997774.9560924,15,0.5085574388504028
1568997780.8695745,16,0.4989718794822693
1568997786.7501705,17,0.48219576478004456
1568997792.5700648,18,0.4667496681213379
1568997798.3948615,19,0.4552229642868042
1568997804.2218072,20,0.44286009669303894
1568997810.1066387,21,0.42941927909851074
1568997815.9974275,22,0.41883623600006104
1568997821.8302288,23,0.40394020080566406
1568997827.917755,24,0.3917357623577118
1568997833.6747205,25,0.37853899598121643
1568997839.794702,26,0.3624321520328522
1568997845.677162,27,0.34822410345077515
1568997851.484473,28,0.33416566252708435
1568997857.269549,29,0.3179091215133667
1568997863.0651312,30,0.30568358302116394
1568997869.0299249,31,0.291201651096344
1568997874.797598,32,0.2779877483844757
1568997880.637998,33,0.2615927755832672
1568997886.4776113,34,0.25095149874687195
1568997892.3112612,35,0.23507383465766907
1568997898.1875832,36,0.22497975826263428
1568997904.0676994,37,0.21029072999954224
1568997909.8997421,38,0.1983376443386078
1568997915.7485979,39,0.18470247089862823
1568997921.5828927,40,0.17536887526512146
1568997927.4821157,41,0.16268925368785858
1568997933.2919412,42,0.1547362506389618
1568997939.1536407,43,0.14256303012371063
1568997944.9668832,44,0.13631555438041687
1568997950.7740533,45,0.12379995733499527
1568997956.5801406,46,0.11359880864620209
1568997962.5210798,47,0.10508206486701965
1568997968.3379965,48,0.10121918469667435
1568997974.121265,49,0.09240857511758804
1568997980.0126352,50,0.08405552059412003
1568997985.8237383,51,0.07705795019865036
1568997991.6885304,52,0.07414394617080688
1568997997.609137,53,0.0679083913564682
1568998003.5554833,54,0.06467130780220032
1568998009.3453145,55,0.05881403014063835
1568998015.164245,56,0.05577755719423294
1568998021.0139115,57,0.05137530714273453
1568998026.9153101,58,0.04728303849697113
1568998032.7216132,59,0.04338933527469635
1568998038.3561244,60,0.04471506550908089
1568998044.0216103,61,0.04108083248138428
1568998049.734084,62,0.0378381684422493
1568998055.7589293,63,0.03501638397574425
1568998061.5820556,64,0.034944627434015274
1568998067.473646,65,0.03270471841096878
1568998073.3238814,66,0.051232028752565384
1568998079.149745,67,0.04626726359128952
1568998085.0102286,68,0.04537295922636986
1568998090.8660102,69,0.041593872010707855
1568998096.6767652,70,0.03795701637864113
1568998102.5000467,71,0.034836865961551666
1568998108.3191736,72,0.0336296521127224
1568998114.1908114,73,0.031010087579488754
1568998120.0645933,74,0.032058823853731155
1568998126.0096498,75,0.03002578765153885
1568998131.805199,76,0.028312917798757553
1568998137.7650652,77,0.02618958055973053
1568998143.8406193,78,0.029203452169895172
1568998149.7721422,79,0.028919588774442673
1568998155.5847862,80,0.037799086421728134
1568998161.4111478,81,0.035528916865587234
1568998167.2721767,82,0.036434855312108994
1568998173.0589006,83,0.03341047093272209
1568998178.8920405,84,0.032071277499198914
1568998184.7661195,85,0.030146485194563866
1568998190.6057622,86,0.03466401249170303
1568998196.479633,87,0.032920803874731064
1568998202.3242528,88,0.03660932555794716
1568998208.2467577,89,0.03377331420779228
1568998214.0929542,90,0.037005774676799774
1568998219.8971145,91,0.035411588847637177
1568998225.753542,92,0.033786702901124954
1568998231.672508,93,0.03175804018974304
1568998237.5207016,94,0.051321081817150116
1568998243.557994,95,0.04775555059313774
1568998249.380328,96,0.04786320775747299
1568998255.2200325,97,0.044782329350709915
1568998261.3149326,98,0.043213337659835815
1568998267.2296872,99,0.03964749351143837
1568998273.1441162,100,0.03874865546822548
